SPY US Equity,,,
Dates,PX_OPEN,PX_LAST,PX_VOLUME
1/29/1993,43.969,43.938,1003200
2/1/1993,43.969,44.25,1003200
2/2/1993,44.219,44.344,201300
2/3/1993,44.406,44.813,529400
2/4/1993,44.969,45,531500
2/5/1993,44.969,44.969,492100
2/8/1993,44.969,44.969,596100
2/9/1993,44.813,44.656,122100
2/10/1993,44.656,44.719,379600
2/11/1993,44.781,44.938,19500
2/12/1993,44.875,44.594,42500
2/16/1993,44.469,43.469,374800
2/17/1993,43.469,43.438,210900
2/18/1993,43.938,43.406,378100
2/19/1993,43.406,43.563,34900
2/22/1993,43.688,43.719,513600
2/23/1993,43.844,43.688,373700
2/24/1993,43.719,44.25,26300
2/25/1993,44.25,44.344,44500
2/26/1993,44.438,44.406,66200
3/1/1993,44.438,44.281,66500
3/2/1993,44.313,44.938,182400
3/3/1993,45,45.125,280100
3/4/1993,45.188,44.875,89500
3/5/1993,44.938,44.75,40000
3/8/1993,44.844,45.75,50800
3/9/1993,45.656,45.594,169300
3/10/1993,45.594,45.688,194400
3/11/1993,45.719,45.563,70900
3/12/1993,45.188,45.094,643600
3/15/1993,45.063,45.313,310800
3/16/1993,45.313,45.313,30800
3/17/1993,45.25,45.031,21800
3/18/1993,45.219,45.313,59300
3/19/1993,45.281,45.031,66900
3/22/1993,44.594,44.781,183400
3/23/1993,44.906,44.875,55200
3/24/1993,44.813,44.875,37200
3/25/1993,44.906,45.156,110100
3/26/1993,45.125,44.906,101500
3/29/1993,44.938,45.094,87100
3/30/1993,45.156,45.219,56000
3/31/1993,45.344,45.188,111600
4/1/1993,45.25,45.031,129500
4/2/1993,44.656,44.094,59400
4/5/1993,44.438,44.313,172200
4/6/1993,44.406,44.188,129700
4/7/1993,44.25,44.344,28000
4/8/1993,44.531,44.281,180800
4/12/1993,44.719,44.906,348500
4/13/1993,44.875,45,146100
4/14/1993,45.031,44.938,119600
4/15/1993,44.906,44.938,148600
4/16/1993,44.969,44.938,47900
4/19/1993,44.938,44.75,157000
4/20/1993,44.688,44.531,279500
4/21/1993,44.625,44.5,67900
4/22/1993,44.313,43.938,97700
4/23/1993,43.844,43.75,106000
4/26/1993,43.781,43.406,62600
4/27/1993,43.344,43.875,156800
4/28/1993,43.813,43.781,85900
4/29/1993,43.875,43.969,85000
4/30/1993,44.125,44.031,88500
5/3/1993,44,44.313,80500
5/4/1993,44.406,44.469,149100
5/5/1993,44.469,44.594,109000
5/6/1993,44.531,44.438,54700
5/7/1993,44.469,44.344,68000
5/10/1993,44.406,44.438,113900
5/11/1993,44.438,44.625,42600
5/12/1993,44.438,44.563,31000
5/13/1993,44.375,44.031,129100
5/14/1993,44.031,44,63500
5/17/1993,44.125,44.156,34000
5/18/1993,44.188,44.125,105200
5/19/1993,44.125,45.031,50200
5/20/1993,45.031,45.156,98200
5/21/1993,45.188,44.75,221400
5/24/1993,44.844,44.938,30500
5/25/1993,45.125,45.031,191800
5/26/1993,45.188,45.594,102400
5/27/1993,45.656,45.438,53800
5/28/1993,45.406,45.219,79100
6/1/1993,45.375,45.656,28300
6/2/1993,45.531,45.594,20300
6/3/1993,45.5,45.438,21600
6/4/1993,45.313,45.281,32000
6/7/1993,45.375,45.125,121400
6/8/1993,45,44.719,104500
6/9/1993,44.875,44.875,43300
6/10/1993,44.844,44.906,17900
6/11/1993,45.063,45.094,647400
6/14/1993,45.156,45.031,64200
6/15/1993,45.094,44.938,142400
6/16/1993,44.938,45.031,330900
6/17/1993,45.125,45.188,37400
6/18/1993,44.844,44.5,58500
6/21/1993,44.625,44.594,29300
6/22/1993,44.656,44.625,137500
6/23/1993,44.625,44.438,227600
6/24/1993,44.344,44.813,243700
6/25/1993,44.781,44.781,44800
6/28/1993,45,45.281,439900
6/29/1993,45.219,45.063,207500
6/30/1993,45.125,45.063,437600
7/1/1993,45.125,44.938,605700
7/2/1993,44.781,44.688,285400
7/6/1993,44.625,44.219,246600
7/7/1993,44.188,44.344,343700
7/8/1993,44.375,44.844,248200
7/9/1993,44.844,44.969,378200
7/12/1993,44.906,44.938,373700
7/13/1993,44.969,44.906,389600
7/14/1993,44.938,45.063,617300
7/15/1993,45.031,44.875,443800
7/16/1993,44.906,44.75,216400
7/19/1993,44.75,44.719,188200
7/20/1993,44.688,44.844,68000
7/21/1993,44.781,44.813,142700
7/22/1993,44.75,44.5,632400
7/23/1993,44.594,44.719,286500
7/26/1993,44.844,44.969,121300
7/27/1993,45,44.938,92800
7/28/1993,44.844,44.844,30800
7/29/1993,44.938,45.094,331000
7/30/1993,45.094,44.844,75300
8/2/1993,44.906,44.969,41300
8/3/1993,45.063,45,81600
8/4/1993,45,45,434000
8/5/1993,45,44.906,36800
8/6/1993,45.031,44.969,402300
8/9/1993,45.094,45.219,828400
8/10/1993,45.188,45.188,604900
8/11/1993,45.156,45.188,542200
8/12/1993,45.313,45.063,303700
8/13/1993,45.094,45.125,103500
8/16/1993,45.156,45.375,241800
8/17/1993,45.344,45.531,372400
8/18/1993,45.688,45.781,416000
8/19/1993,45.813,45.781,28500
8/20/1993,45.688,45.813,80700
8/23/1993,45.625,45.719,15600
8/24/1993,45.75,46.219,273500
8/25/1993,46.219,46.25,242300
8/26/1993,46.281,46.281,120000
8/27/1993,46.156,46.25,25700
8/30/1993,46.281,46.438,192500
8/31/1993,46.406,46.563,66500
9/1/1993,46.406,46.5,136500
9/2/1993,46.531,46.344,480400
9/3/1993,46.313,46.375,630500
9/7/1993,46.375,46.063,196400
9/8/1993,46.063,45.906,269900
9/9/1993,45.719,46,239200
9/10/1993,46.125,46.406,106500
9/13/1993,46.563,46.438,66900
9/14/1993,46.313,46.25,187200
9/15/1993,46.063,46.375,100200
9/16/1993,46.313,46.281,49600
9/17/1993,45.875,45.813,200900
9/20/1993,45.875,45.438,57800
9/21/1993,45.5,45.281,316000
9/22/1993,45.438,45.656,439700
9/23/1993,45.781,45.906,88500
9/24/1993,45.844,45.781,53500
9/27/1993,46.125,46.281,299600
9/28/1993,46.313,46.188,158300
9/29/1993,46.188,46.031,243000
9/30/1993,46.031,45.938,158300
10/1/1993,45.875,46.156,22700
10/4/1993,46.219,46.219,1038500
10/5/1993,46.313,46.156,886500
10/6/1993,46.188,46.125,209200
10/7/1993,46.188,46,58900
10/8/1993,46.125,46.063,54400
10/11/1993,46.156,46.156,467100
10/12/1993,46.219,46.219,26200
10/13/1993,46.25,46.219,139100
10/14/1993,46.406,46.813,108100
10/15/1993,47.031,47.063,1502500
10/18/1993,47.031,46.938,722400
10/19/1993,46.875,46.594,880100
10/20/1993,46.75,46.656,230400
10/21/1993,46.688,46.594,56200
10/22/1993,46.656,46.375,390700
10/25/1993,46.406,46.5,114500
10/26/1993,46.469,46.469,186200
10/27/1993,46.406,46.5,118400
10/28/1993,46.563,46.844,129600
10/29/1993,46.813,46.844,80700
11/1/1993,46.781,46.969,34600
11/2/1993,46.906,46.938,262100
11/3/1993,46.906,46.375,504100
11/4/1993,46.344,45.844,130400
11/5/1993,45.719,46.063,363200
11/8/1993,46.094,46.125,367600
11/9/1993,46.438,46.156,246900
11/10/1993,46.156,46.5,46500
11/11/1993,46.5,46.375,88900
11/12/1993,46.469,46.594,108200
11/15/1993,46.688,46.563,243300
11/16/1993,46.656,46.781,492600
11/17/1993,46.813,46.531,42100
11/18/1993,46.469,46.406,240800
11/19/1993,46.25,46.313,106000
11/22/1993,46.188,46.031,185300
11/23/1993,46.281,46.281,91700
11/24/1993,46.406,46.469,77200
11/26/1993,46.594,46.5,1019800
11/29/1993,46.625,46.313,517500
11/30/1993,46.281,46.344,239500
12/1/1993,46.594,46.406,379200
12/2/1993,46.5,46.531,352000
12/3/1993,46.5,46.719,306000
12/6/1993,46.781,46.875,99500
12/7/1993,46.875,46.844,88800
12/8/1993,46.844,46.844,146700
12/9/1993,46.844,46.688,416500
12/10/1993,46.719,46.594,412900
12/13/1993,46.594,46.875,273200
12/14/1993,46.906,46.531,41900
12/15/1993,46.594,46.469,82600
12/16/1993,46.656,46.625,76500
12/17/1993,46.406,46.563,104700
12/20/1993,46.531,46.625,68800
12/21/1993,46.563,46.469,205700
12/22/1993,46.594,46.781,941800
12/23/1993,46.75,46.75,533800
12/27/1993,46.75,47,527100
12/28/1993,46.969,47.094,880600
12/29/1993,47.125,47.031,266700
12/30/1993,47,46.844,219900
12/31/1993,46.938,46.594,323300
1/3/1994,46.594,46.469,960900
1/4/1994,46.531,46.656,164300
1/5/1994,46.719,46.75,710900
1/6/1994,46.813,46.75,201000
1/7/1994,46.844,47.031,795500
1/10/1994,47.094,47.594,593700
1/11/1994,47.563,47.5,348300
1/12/1994,47.531,47.344,158400
1/13/1994,47.219,47.219,244300
1/14/1994,47.375,47.406,137200
1/17/1994,47.406,47.406,17700
1/18/1994,47.469,47.469,166400
1/19/1994,47.406,47.344,200800
1/20/1994,47.406,47.469,278800
1/21/1994,47.531,47.375,85600
1/24/1994,47.344,47.188,373800
